Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7,Angle8,Distance8,Density8,Angle9,Distance9,Density9,Angle10,Distance10,Density10,Angle11,Distance11,Density11
 13,6.21838348859296,3.25550479279997,1,7.39442040570106,4.00670057780814,0,0,0,0,6.21838348859296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 13,6.21838348859296,3.25550479279997,1,7.39442040570106,4.00670057780814,1,7.87901198324132,6.0019013087898,0,6.21838348859296,0,0,0,0,0,0,0,0,0,0,0,7.26130724179671,5.10103644205669,0,0,0,0,0,0,0,0,0,0
 13,6.21838348859296,3.25550479279997,1,7.39442040570106,4.00670057780814,1,7.87901198324132,6.0019013087898,2,6.21838348859296,0,0,0,0,0,4.65248876077166,6.1457655843679,0,0,0,0,7.26130724179671,5.10103644205669,2,7.93187570322432,8.01989732517696,0,0,0,0,0,0,0
 13,6.21838348859296,3.25550479279997,1,7.39442040570106,4.00670057780814,1,7.87901198324132,6.0019013087898,2,6.21838348859296,0,0,0,0,0,4.65248876077166,6.1457655843679,4,0,0,0,7.26130724179671,5.10103644205669,2,7.93187570322432,8.01989732517696,4,0,0,0,0,0,0
 13,6.21838348859296,3.25550479279997,1,7.39442040570106,4.00670057780814,1,5.37139390301422,3.06337738392843,4,6.21838348859296,0,0,0,0,0,4.65248876077166,6.1457655843679,4,0,0,0,7.09132552983661,7.1284207773163,4,7.93187570322432,8.01989732517696,4,0,0,0,0,0,0
 13,6.21838348859296,3.25550479279997,1,7.39442040570106,4.00670057780814,1,5.37139390301422,3.06337738392843,4,6.21838348859296,4.97051117439108,2,0,0,0,4.65248876077166,6.1457655843679,4,0,0,0,7.09132552983661,7.1284207773163,4,7.93187570322432,8.01989732517696,4,7.5086456914059,5.79089014897126,2,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,0,0,0,0,5.37786673855273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,9.22685807584731,4.16754550801482,0,5.37786673855273,0,0,0,0,0,0,0,0,0,0,0,6.73953712040647,7.04173718897366,0,0,0,0,0,0,0,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,9.22685807584731,4.16754550801482,1,5.37786673855273,0,0,0,0,0,5.10590210140226,6.83851055832464,0,0,0,0,6.73953712040647,7.04173718897366,1,4.68683326536067,5.16481959088861,0,0,0,0,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,9.22685807584731,4.16754550801482,1,5.37786673855273,0,0,0,0,0,5.10590210140226,6.83851055832464,2,0,0,0,6.73953712040647,7.04173718897366,1,4.68683326536067,5.16481959088861,2,0,0,0,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,9.22685807584731,4.16754550801482,1,5.37786673855273,0,0,0,0,0,5.10590210140226,6.83851055832464,2,3.44976001324504,6.07951527177327,1,6.73953712040647,7.04173718897366,1,4.68683326536067,5.16481959088861,2,0,0,0,0,0,0
 15,8.95654103286186,5.29642962350135,1,6.46545202576116,6.50759278828039,0,0,0,0,8.95654103286186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
