Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
23,5.608709787,4.743856032,0,2.201986055,6.046165674,0,5.994089921,5.056438893,4,5.608709787,0,0,0,0,0,8.549652489,3.637739921,3
23,5.608709787,4.743856032,0,2.201986055,6.046165674,0,7.513293358,3.08903765,4,5.608709787,0,0,0,0,0,8.549652489,3.637739921,3
23,5.608709787,4.743856032,0,2.201986055,6.046165674,0,7.513293358,3.08903765,4,5.608709787,7.3501447,1,0,0,0,8.549652489,3.637739921,3
24,6.575249624,6.565921671,0,5.132486179,7.282405691,0,2.681425042,4.480668475,3,6.575249624,0,0,0,0,0,7.850954318,4.020522431,0
24,6.575249624,6.565921671,0,5.132486179,7.282405691,0,2.681425042,4.480668475,3,6.575249624,0,0,0,0,0,7.850954318,4.020522431,1
25,1.882149852,5.398207185,1,4.979512819,2.63804603,0,0,0,0,1.882149852,0,0,0,0,0,0,0,0
25,1.882149852,5.398207185,1,4.979512819,2.63804603,1,2.703941418,4.082130141,0,1.882149852,0,0,0,0,0,0,0,0
25,1.882149852,5.398207185,1,4.979512819,2.63804603,1,2.703941418,4.082130141,3,1.882149852,0,0,0,0,0,0,0,0
25,1.882149852,5.398207185,1,4.979512819,2.63804603,1,2.703941418,4.082130141,3,1.882149852,5.513992171,1,0,0,0,0,0,0
26,4.198007365,5.762323644,0,2.869241443,6.120584318,0,1.939302298,4.7069447,4,4.198007365,0,0,0,0,0,6.605760615,5.761072636,0
26,4.198007365,5.762323644,0,2.869241443,6.120584318,0,1.939302298,4.7069447,4,4.198007365,0,0,0,0,0,6.605760615,5.761072636,2
27,3.449234239,3.643292375,1,4.267142413,3.85980959,0,0,0,0,3.449234239,0,0,0,0,0,0,0,0
27,3.449234239,3.643292375,1,4.267142413,3.85980959,1,7.675744895,2.502762712,0,3.449234239,0,0,0,0,0,0,0,0
27,3.449234239,3.643292375,1,4.267142413,3.85980959,1,7.675744895,2.502762712,3,3.449234239,0,0,0,0,0,0,0,0
27,3.449234239,3.643292375,1,4.267142413,3.85980959,1,7.675744895,2.502762712,3,3.449234239,0,0,3.606873969,5.636756376,1,0,0,0
28,4.399790935,5.25798826,1,5.3599616,5.695735479,0,0,0,0,4.399790935,0,0,0,0,0,0,0,0
28,4.399790935,5.25798826,1,5.3599616,5.695735479,1,3.557495655,4.803758074,0,4.399790935,0,0,0,0,0,0,0,0
28,4.399790935,5.25798826,1,5.3599616,5.695735479,1,3.557495655,4.803758074,2,4.399790935,0,0,0,0,0,0,0,0
28,4.399790935,5.25798826,1,5.3599616,5.695735479,1,3.557495655,4.803758074,2,4.399790935,1.87700343,1,0,0,0,0,0,0
29,4.65101056,5.899066225,0,3.634645772,7.05810492,0,4.240285987,4.539237848,6,4.65101056,0,0,0,0,0,7.302315447,5.016058493,0
29,4.65101056,5.899066225,0,3.634645772,7.05810492,0,4.240285987,4.539237848,6,4.65101056,0,0,0,0,0,7.302315447,5.016058493,2
29,4.65101056,5.899066225,0,3.634645772,7.05810492,0,5.605784196,4.993957818,2,4.65101056,0,0,0,0,0,7.302315447,5.016058493,2
30,3.581557282,2.556543452,2,7.164044087,4.5993044,0,0,0,0,3.581557282,0,0,0,0,0,0,0,0
29,4.65101056,5.899066225,0,3.634645772,7.05810492,0,5.605784196,4.993957818,2,4.65101056,3.641510755,1,0,0,0,7.302315447,5.016058493,2
30,3.581557282,2.556543452,2,7.164044087,4.5993044,3,4.506959575,6.334728732,0,3.581557282,0,0,0,0,0,0,0,0
30,3.581557282,2.556543452,2,7.164044087,4.5993044,3,4.506959575,6.334728732,4,3.581557282,0,0,0,0,0,0,0,0
30,3.581557282,2.556543452,2,7.164044087,4.5993044,3,4.506959575,6.334728732,4,3.581557282,4.379477898,1,0,0,0,0,0,0
31,4.973874503,5.713523815,1,4.335939943,6.558588818,0,0,0,0,4.973874503,0,0,0,0,0,0,0,0
31,4.973874503,5.713523815,1,4.335939943,6.558588818,1,5.052455508,1.648621327,0,4.973874503,0,0,0,0,0,0,0,0
31,4.973874503,5.713523815,1,4.335939943,6.558588818,1,5.052455508,1.648621327,2,4.973874503,0,0,0,0,0,0,0,0
