Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
 9,7.18545660723612,2.589120499688,0,4.43165603798454,6.07951527177327,0,4.82486006020194,7.3692102351115,3,7.18545660723612,0,0,0,0,0,4.69052447357521,8.42554989346043,1
 9,7.18545660723612,2.589120499688,0,4.43165603798454,6.07951527177327,0,4.82486006020194,7.3692102351115,3,7.18545660723612,3.97879021667908,3,0,0,0,4.69052447357521,8.42554989346043,1
 10,1.70501368445628,5.55353354491856,0,5.52585928377822,5.04782935680568,0,6.45098975189583,4.07092795276835,4,1.70501368445628,0,0,0,0,0,4.08673021853471,5.66548808471138,0
 10,1.70501368445628,5.55353354491856,0,5.52585928377822,5.04782935680568,0,6.45098975189583,4.07092795276835,4,1.70501368445628,0,0,0,0,0,4.08673021853471,5.66548808471138,2
 11,5.34144144165121,4.4175327333888,0,5.27561460745674,3.94782635494083,0,4.73561370002267,7.84802526948086,3,5.34144144165121,0,0,0,0,0,3.26634171892532,6.11071710751384,0
 11,5.34144144165121,4.4175327333888,0,5.27561460745674,3.94782635494083,0,4.73561370002267,7.84802526948086,3,5.34144144165121,0,0,0,0,0,3.26634171892532,6.11071710751384,2
 12,6.51521508265038,4.55812146587474,1,3.1433061848463,3.31463754319139,0,0,0,0,6.51521508265038,0,0,0,0,0,0,0,0
 12,6.51521508265038,4.55812146587474,1,3.1433061848463,3.31463754319139,1,3.63519259945616,6.56041127573925,0,6.51521508265038,0,0,0,0,0,0,0,0
 12,6.51521508265038,4.55812146587474,1,3.1433061848463,3.31463754319139,1,3.63519259945616,6.56041127573925,2,6.51521508265038,0,0,0,0,0,0,0,0
 12,6.51521508265038,4.55812146587474,1,3.1433061848463,3.31463754319139,1,3.63519259945616,6.56041127573925,2,6.51521508265038,0,0,3.5711378350836,1.62442064925351,1,0,0,0
 13,6.89329725786943,5.34946999380109,0,3.94811947173464,4.62770124905316,0,6.79924838110809,3.36534883320646,5,6.89329725786943,0,0,0,0,0,2.23970880285859,4.28954910584302,0
 13,6.89329725786943,5.34946999380109,0,3.94811947173464,4.62770124905316,0,6.79924838110809,3.36534883320646,5,6.89329725786943,0,0,0,0,0,2.23970880285859,4.28954910584302,4
 13,6.89329725786943,5.34946999380109,0,3.94811947173464,4.62770124905316,0,4.87538408739272,5.29236903845383,2,6.89329725786943,0,0,0,0,0,2.23970880285859,4.28954910584302,4
 13,6.89329725786943,5.34946999380109,0,3.94811947173464,4.62770124905316,0,4.87538408739272,5.29236903845383,2,6.89329725786943,6.45870842505877,1,0,0,0,2.23970880285859,4.28954910584302,4
 14,5.37999187399372,5.89382577418786,0,6.32466232689982,4.85325747357872,0,4.4873381688743,2.24040633892786,2,5.37999187399372,0,0,0,0,0,4.12912377531239,8.15134689946907,0
 14,5.37999187399372,5.89382577418786,0,6.32466232689982,4.85325747357872,0,4.4873381688743,2.24040633892786,2,5.37999187399372,0,0,0,0,0,4.12912377531239,8.15134689946907,2
 15,6.67271376626543,5.29642962350135,1,4.46018804247934,6.50759278828039,0,0,0,0,6.67271376626543,0,0,0,0,0,0,0,0
 15,6.67271376626543,5.29642962350135,1,4.46018804247934,6.50759278828039,1,3.74869334854032,2.98511960619714,0,6.67271376626543,0,0,0,0,0,0,0,0
 15,6.67271376626543,5.29642962350135,1,4.46018804247934,6.50759278828039,1,3.74869334854032,2.98511960619714,2,6.67271376626543,0,0,0,0,0,0,0,0
 15,6.67271376626543,5.29642962350135,1,4.46018804247934,6.50759278828039,1,3.74869334854032,2.98511960619714,2,6.67271376626543,0,0,7.12326947556162,6.7570097864455,2,0,0,0
 16,6.04649758193755,6.33113819362602,1,7.75048622736715,6.037060207683,0,0,0,0,6.04649758193755,0,0,0,0,0,0,0,0
 16,6.04649758193755,6.33113819362602,1,7.75048622736715,6.037060207683,1,4.57528736323981,5.08720547515199,0,6.04649758193755,0,0,0,0,0,0,0,0
 16,6.04649758193755,6.33113819362602,1,7.75048622736715,6.037060207683,1,4.57528736323981,5.08720547515199,2,6.04649758193755,0,0,0,0,0,0,0,0
 16,6.04649758193755,6.33113819362602,1,7.75048622736715,6.037060207683,1,4.57528736323981,5.08720547515199,2,6.04649758193755,6.15972801082041,2,0,0,0,0,0,0
 17,6.32949060605668,4.57764749625218,0,4.44851985323067,5.45823437561011,0,6.658482351039,6.27201835237883,5,6.32949060605668,0,0,0,0,0,6.29616372746183,7.0176706926273,0
 17,6.32949060605668,4.57764749625218,0,4.44851985323067,5.45823437561011,0,6.658482351039,6.27201835237883,5,6.32949060605668,0,0,0,0,0,6.29616372746183,7.0176706926273,1
 18,6.92028886635647,3.32545392644672,1,3.53062473028897,6.35080469982359,0,0,0,0,6.92028886635647,0,0,0,0,0,0,0,0
 18,6.92028886635647,3.32545392644672,1,3.53062473028897,6.35080469982359,1,5.3255812926702,7.31313975953135,0,6.92028886635647,0,0,0,0,0,0,0,0
 18,6.92028886635647,3.32545392644672,1,3.53062473028897,6.35080469982359,1,5.3255812926702,7.31313975953135,2,6.92028886635647,0,0,0,0,0,0,0,0
 18,6.92028886635647,3.32545392644672,1,3.53062473028897,6.35080469982359,1,5.3255812926702,7.31313975953135,2,6.92028886635647,3.26618622722534,2,0,0,0,0,0,0
 19,3.65444228005152,5.47762921700148,0,7.20243668003384,4.89405257118547,0,5.42294133687634,5.10001192135238,5,3.65444228005152,0,0,0,0,0,4.41260944937464,6.58677264998625,0
 19,3.65444228005152,5.47762921700148,0,7.20243668003384,4.89405257118547,0,5.42294133687634,5.10001192135238,5,3.65444228005152,0,0,0,0,0,4.41260944937464,6.58677264998625,2
 19,3.65444228005152,5.47762921700148,0,7.20243668003384,4.89405257118547,0,4.98256554305637,4.54615476210668,2,3.65444228005152,0,0,0,0,0,4.41260944937464,6.58677264998625,2
 20,1.63573942213893,5.17780855234864,1,6.88300490045074,4.53701663154369,0,0,0,0,1.63573942213893,0,0,0,0,0,0,0,0
 20,1.63573942213893,5.17780855234864,1,6.88300490045074,4.53701663154369,1,2.9226496753187,3.62504201424984,0,1.63573942213893,0,0,0,0,0,0,0,0
 19,3.65444228005152,5.47762921700148,0,7.20243668003384,4.89405257118547,0,4.98256554305637,4.54615476210668,2,3.65444228005152,0,0,5.69971196335129,7.88077276456635,1,4.41260944937464,6.58677264998625,2
 20,1.63573942213893,5.17780855234864,1,6.88300490045074,4.53701663154369,1,2.9226496753187,3.62504201424984,2,1.63573942213893,0,0,0,0,0,0,0,0
