Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance
41,38.57314453753284,42.830886617388195,48.70690450127167,13.26601013738268,0.0,49.34864441327672,33.69646667385736
42,34.7789636165002,42.9158677714598,43.07590140335696,14.85679192653244,0.0,35.570157987549045,42.84344094731777
43,42.04351106163004,28.6294784203088,44.730387109881164,33.706599685032046,0.0,31.228314221808727,0.0
44,37.1322563270894,43.269270977680286,49.16140267581668,28.58122657046756,0.0,41.11549204146048,54.305546277897044
45,41.60617964943396,41.1801669425936,32.200201531477,39.87201870808556,0.0,30.495292285173925,0.0
46,33.100876854588726,32.5988768537764,34.88208639107216,15.44640512063968,52.255337680356526,0.0,0.0
47,39.422781106086724,48.95175236568956,40.0996115530578,40.2377367899074,0.0,49.77471239664096,0.0
48,44.64308209405984,37.897472687943164,47.6602888783586,31.238785765482803,0.0,0.0,0.0
49,43.345665823108,39.80600769405588,38.33658930193044,21.77205976897792,0.0,40.529632855589846,38.521025603759
50,20.226840136430756,38.116199635013004,34.21158849843945,28.824041179930155,0.0,0.0,0.0
51,30.695825801686517,42.177342186395606,37.2323797162542,40.19458054551752,0.0,0.0,0.0
52,39.2010343495386,54.162550889026605,48.87561384446564,30.74404157772608,0.0,43.31211671034324,0.0
53,37.23023318728092,50.7734942090698,37.43608069532108,41.22982311814793,0.0,0.0,0.0
54,50.69547260631029,48.43465746252464,51.40935291385309,29.1022802737476,0.0,32.46803726993692,33.084109538556085
55,28.15351675525036,38.16874984020692,40.255720616414756,15.244490063555242,52.62209396795636,0.0,0.0
56,28.95924765932608,29.940305521417642,29.388338803832365,12.762242111383722,0.0,49.097057847142246,38.602386711856475
57,26.775726945544605,25.211014201984806,29.168992239998442,10.660087858579802,0.0,38.34997938208944,39.8089137326008
58,17.914284237675957,48.82030487168948,43.23189486140476,37.689344562607005,0.0,0.0,0.0
59,51.955212164273966,17.84593677453368,36.800679267307395,42.2119763442386,0.0,0.0,0.0
60,50.03647232708672,44.30425420049588,50.21050775678424,34.11216557581656,0.0,0.0,0.0
61,32.45928104006328,41.90565970607816,30.210447606940438,34.63992901245224,0.0,43.113158619042004,0.0
62,43.603948513357636,30.087445621092478,39.468419071456594,25.8919932113296,0.0,39.69261180423824,28.090537736066963
63,44.62869414582569,52.51843002525855,29.854562790712478,30.191574240265993,0.0,0.0,0.0
64,33.42041109466064,49.14691905427896,53.55730383335355,34.35497081803312,0.0,0.0,0.0
65,45.50989833399605,44.7412094543248,46.10826824284988,50.384368394420996,0.0,47.1014326683118,0.0
66,32.64539583226272,42.863107272254844,30.45811284465828,22.4805678773782,0.0,36.31123114959584,42.866957943651684
67,38.447743217354834,31.854451844034244,34.995940441018725,45.10509575162464,0.0,0.0,0.0
68,23.417606383442358,36.76887713119088,29.54898225913472,7.754426903923001,46.48590699461652,0.0,0.0
69,49.30364357472741,48.10845016154468,43.30020935034945,37.205722083013356,0.0,0.0,0.0
70,52.74644901419892,31.45001442630712,45.1061219781008,46.3148738237344,0.0,0.0,0.0
71,42.456759727484716,40.45961875734989,49.69280094112264,21.90459356209852,0.0,34.878859633790206,0.0
72,48.7341251407022,42.82016466069788,44.56458299716909,54.435464943872525,0.0,41.71701510482249,0.0
73,40.0907373562492,34.685033158709565,44.87999374939752,43.53875061436536,0.0,0.0,0.0
74,30.14502841464488,23.877919903127722,39.13382126179364,9.1388417243178,0.0,27.038530746699642,35.74059739036472
75,39.502532550731075,47.19355387734664,32.597736821558485,17.3695672796362,0.0,42.742676451698486,28.7229570056232
76,43.18323576282124,32.6732800061676,44.39906884339676,21.18913397024584,0.0,33.247836785933686,38.35592760087812
77,45.914709624434195,26.3900129827278,45.06031069435375,25.41968953406208,54.521117048028486,45.897287072235045,0.0
78,27.791577235676645,38.096626015929004,42.491953270250484,15.465596743477361,0.0,22.89600642401684,34.447370554278244
79,29.33647953953108,38.91023789850364,24.775762307688243,38.605503730065685,0.0,0.0,0.0
80,47.560882784453,37.583869080179596,43.14524133346672,16.68390261665128,35.97452138115388,33.66474293690537,0.0
81,47.297181765244765,47.278470675836125,39.21303139008736,24.672901657245003,0.0,36.61108883814112,41.51082433949617
82,45.61467067525932,41.86192342737152,65.65895847388805,42.2719648157304,0.0,50.27895921178852,0.0
83,40.29881842752424,53.075095945401074,38.1373399962244,42.80683352361048,0.0,0.0,0.0
84,32.773507665551314,48.99291041872632,30.185885587712157,23.7119314264768,0.0,42.95457572918052,0.0
