Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7
 8,6.78861608846338,5.92088177578451,1,6.70582912890211,2.59862759281134,1,5.30694384802087,4.18349880316273,4,6.78861608846338,0,0,0,0,0,2.51018551781327,4.96018795546096,0,0,0,0
 8,6.78861608846338,5.92088177578451,1,6.70582912890211,2.59862759281134,1,5.30694384802087,4.18349880316273,4,6.78861608846338,0,0,0,0,0,2.51018551781327,4.96018795546096,1,0,0,0
 8,6.78861608846338,5.92088177578451,1,6.70582912890211,2.59862759281134,1,7.63073151418929,5.45183676359332,4,6.78861608846338,0,0,0,0,0,2.51018551781327,4.96018795546096,1,0,0,0
 8,6.78861608846338,5.92088177578451,1,6.70582912890211,2.59862759281134,1,7.63073151418929,5.45183676359332,4,6.78861608846338,5.29642962350135,2,0,0,0,2.51018551781327,4.96018795546096,1,0,0,0
 9,8.11561817801373,3.16576536890779,1,5.81001027603511,5.09731693519742,0,0,0,0,8.11561817801373,0,0,0,0,0,0,0,0,0,0,0
 9,8.11561817801373,3.16576536890779,1,5.81001027603511,5.09731693519742,1,4.45972903069254,3.55735765881615,0,8.11561817801373,0,0,0,0,0,0,0,0,0,0,0
 9,8.11561817801373,3.16576536890779,1,5.81001027603511,5.09731693519742,1,4.45972903069254,3.55735765881615,1,8.11561817801373,0,0,0,0,0,4.69052447357521,8.42554989346043,0,0,0,0
 9,8.11561817801373,3.16576536890779,1,5.81001027603511,5.09731693519742,1,4.45972903069254,3.55735765881615,1,8.11561817801373,0,0,0,0,0,4.69052447357521,8.42554989346043,8,0,0,0
 9,8.11561817801373,3.16576536890779,1,5.81001027603511,5.09731693519742,1,5.79144826862038,7.3692102351115,2,8.11561817801373,0,0,0,0,0,4.69052447357521,8.42554989346043,8,0,0,0
 9,8.11561817801373,3.16576536890779,1,5.81001027603511,5.09731693519742,1,5.79144826862038,7.3692102351115,2,8.11561817801373,6.33113819362602,1,0,0,0,4.69052447357521,8.42554989346043,8,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,0,0,0,0,4.51971216160872,0,0,0,0,0,0,0,0,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,7.75273979959294,6.38247344948543,0,4.51971216160872,0,0,0,0,0,0,0,0,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,7.75273979959294,6.38247344948543,3,4.51971216160872,0,0,0,0,0,6.45098975189583,4.07092795276835,0,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,7.75273979959294,6.38247344948543,3,4.51971216160872,0,0,0,0,0,6.45098975189583,4.07092795276835,2,0,0,0
 10,4.51971216160872,4.45046201859027,1,7.67185483543245,5.04782935680568,1,7.75273979959294,6.38247344948543,3,4.51971216160872,0,0,0,0,0,6.45098975189583,4.07092795276835,2,6.40330443502993,3.92046653326817,1
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,0,0,0,0,9.07822656983743,0,0,0,0,0,0,0,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.17674381042918,3.65117404617523,0,9.07822656983743,0,0,0,0,0,0,0,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.17674381042918,3.65117404617523,2,9.07822656983743,0,0,0,0,0,4.73561370002267,7.84802526948086,0,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.17674381042918,3.65117404617523,2,9.07822656983743,0,0,0,0,0,4.73561370002267,7.84802526948086,5,0,0,0
 11,9.07822656983743,3.33512569567915,1,6.55264208564651,3.94782635494083,1,6.17674381042918,3.65117404617523,2,9.07822656983743,0,0,0,0,0,4.73561370002267,7.84802526948086,5,4.32348047139321,3.82421018373124,1
 12,5.86185840927541,3.31463754319139,1,7.14902862269353,3.04516193081875,0,0,0,0,5.86185840927541,0,0,0,0,0,0,0,0,0,0,0
 12,5.86185840927541,3.31463754319139,1,7.14902862269353,3.04516193081875,1,4.45464163711333,6.56041127573925,0,5.86185840927541,0,0,0,0,0,0,0,0,0,0,0
 12,5.86185840927541,3.31463754319139,1,7.14902862269353,3.04516193081875,1,4.45464163711333,6.56041127573925,3,5.86185840927541,0,0,0,0,0,0,0,0,0,0,0
 12,5.86185840927541,3.31463754319139,1,7.14902862269353,3.04516193081875,1,4.45464163711333,6.56041127573925,3,5.86185840927541,0,0,7.35620243715237,4.08704028659318,2,0,0,0,0,0,0
 13,7.39442040570106,4.00670057780814,1,9.10256849890928,6.52256231837721,0,0,0,0,7.39442040570106,0,0,0,0,0,0,0,0,0,0,0
 13,7.39442040570106,4.00670057780814,1,9.10256849890928,6.52256231837721,1,7.58072219309843,3.36534883320646,0,7.39442040570106,0,0,0,0,0,0,0,0,0,0,0
 13,7.39442040570106,4.00670057780814,1,9.10256849890928,6.52256231837721,1,7.58072219309843,3.36534883320646,3,7.39442040570106,0,0,0,0,0,2.23970880285859,4.28954910584302,0,0,0,0
 13,7.39442040570106,4.00670057780814,1,9.10256849890928,6.52256231837721,1,7.58072219309843,3.36534883320646,3,7.39442040570106,0,0,0,0,0,2.23970880285859,4.28954910584302,5,0,0,0
 13,7.39442040570106,4.00670057780814,1,9.10256849890928,6.52256231837721,1,5.47814712413857,5.29236903845383,3,7.39442040570106,0,0,0,0,0,2.23970880285859,4.28954910584302,5,0,0,0
 13,7.39442040570106,4.00670057780814,1,9.10256849890928,6.52256231837721,1,5.47814712413857,5.29236903845383,3,7.39442040570106,3.32545392644672,1,0,0,0,2.23970880285859,4.28954910584302,5,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,0,0,0,0,5.37786673855273,0,0,0,0,0,0,0,0,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,6.89375569545502,6.51958155646185,0,5.37786673855273,0,0,0,0,0,0,0,0,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,6.89375569545502,6.51958155646185,3,5.37786673855273,0,0,0,0,0,4.4873381688743,2.24040633892786,0,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,6.89375569545502,6.51958155646185,3,5.37786673855273,0,0,0,0,0,4.4873381688743,2.24040633892786,2,0,0,0
 14,5.37786673855273,3.95898643252774,1,7.84777169530747,4.85325747357872,1,6.89375569545502,6.51958155646185,3,5.37786673855273,0,0,0,0,0,4.4873381688743,2.24040633892786,2,3.44976001324504,6.07951527177327,1
