Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7
 9,6.16559376541381,3.16576536890779,1,4.30403455827343,5.09731693519742,1,4.82486006020194,7.3692102351115,2,6.16559376541381,0,0,0,0,0,4.69052447357521,8.42554989346043,6,0,0,0
 9,6.16559376541381,3.16576536890779,1,4.30403455827343,5.09731693519742,1,4.82486006020194,7.3692102351115,2,6.16559376541381,6.33113819362602,1,0,0,0,4.69052447357521,8.42554989346043,6,0,0,0
 10,1.70501368445628,5.55353354491856,1,5.52585928377822,5.04782935680568,0,0,0,0,1.70501368445628,0,0,0,0,0,0,0,0,0,0,0
 10,1.70501368445628,5.55353354491856,1,5.52585928377822,5.04782935680568,1,6.69073478580767,6.38247344948543,0,1.70501368445628,0,0,0,0,0,0,0,0,0,0,0
 10,1.70501368445628,5.55353354491856,1,5.52585928377822,5.04782935680568,1,6.69073478580767,6.38247344948543,3,1.70501368445628,0,0,0,0,0,6.45098975189583,4.07092795276835,0,0,0,0
 10,1.70501368445628,5.55353354491856,1,5.52585928377822,5.04782935680568,1,6.69073478580767,6.38247344948543,3,1.70501368445628,0,0,0,0,0,6.45098975189583,4.07092795276835,2,0,0,0
 10,1.70501368445628,5.55353354491856,1,5.52585928377822,5.04782935680568,1,6.69073478580767,6.38247344948543,3,1.70501368445628,0,0,0,0,0,6.45098975189583,4.07092795276835,2,7.22068558956082,3.92046653326817,1
 11,5.34144144165121,4.4175327333888,2,5.27561460745674,3.94782635494083,0,0,0,0,5.34144144165121,0,0,0,0,0,0,0,0,0,0,0
 11,5.34144144165121,4.4175327333888,2,5.27561460745674,3.94782635494083,1,5.16181970083297,3.65117404617523,0,5.34144144165121,0,0,0,0,0,0,0,0,0,0,0
 11,5.34144144165121,4.4175327333888,2,5.27561460745674,3.94782635494083,1,5.16181970083297,3.65117404617523,2,5.34144144165121,0,0,0,0,0,4.73561370002267,7.84802526948086,0,0,0,0
 11,5.34144144165121,4.4175327333888,2,5.27561460745674,3.94782635494083,1,5.16181970083297,3.65117404617523,2,5.34144144165121,0,0,0,0,0,4.73561370002267,7.84802526948086,4,0,0,0
 11,5.34144144165121,4.4175327333888,2,5.27561460745674,3.94782635494083,1,5.16181970083297,3.65117404617523,2,5.34144144165121,0,0,0,0,0,4.73561370002267,7.84802526948086,4,5.54493474951365,3.82421018373124,1
 12,3.1433061848463,3.31463754319139,1,5.1906771725089,3.04516193081875,0,0,0,0,3.1433061848463,0,0,0,0,0,0,0,0,0,0,0
 12,3.1433061848463,3.31463754319139,1,5.1906771725089,3.04516193081875,1,3.63519259945616,6.56041127573925,0,3.1433061848463,0,0,0,0,0,0,0,0,0,0,0
 12,3.1433061848463,3.31463754319139,1,5.1906771725089,3.04516193081875,1,3.63519259945616,6.56041127573925,3,3.1433061848463,0,0,0,0,0,0,0,0,0,0,0
 12,3.1433061848463,3.31463754319139,1,5.1906771725089,3.04516193081875,1,3.63519259945616,6.56041127573925,3,3.1433061848463,0,0,6.46293098396346,4.08704028659318,2,0,0,0,0,0,0
